名称,类别,出现回目,季节判断,时令说明,烹饪方式,制作工具,口味特征,食材分类,主要食材,辅料,成品特点,适用人群,食用场景,关联人物,关联事件,稀有程度,食材可得性,保鲜期(小时),清洗难度,去皮难度,去骨去壳难度,刀工精度,腌制时长(小时),泡发时长(小时),焯水过油,工序步骤数,技法种类,火候要求,主动工时(分钟),总耗时(分钟),设备依赖度,能源消耗,最佳赏味窗口(分钟),可保存时长(天),摆盘难度,进食难度,食用耗时(分钟),饱腹感,搭配需求,营养均衡度,健康等级,文化象征礼仪等级,文学权重,文学隐喻
姜醋,调味品,第三十八回,四季,蘸料四季使用，食蟹必备,调和,碗,辛辣/酸鲜,调味品,生姜/醋,无,姜的辛辣与醋的酸融合；增鲜去腥,通用,蘸料,大观园群芳,螃蟹宴上每人一份的蘸料,常见,★★,720,★★,★★,★,★,0,0,无,2,1,无,5,5,★,★,5,30,★,★,0,★,★,★★,低脂,蘸料,★★★★,螃蟹宴上“多倒些姜醋”
酱,调味品,第四十二回,四季,调味品四季使用,发酵,瓷罐,咸鲜,调味品,豆酱/面酱等,无,咸鲜；酱香浓郁,通用,调味,薛宝钗,宝钗列出的画具清单中的食材,常见,★★,720,★,★,★,★,0,0,无,1,1,无,5,0,★,★,0,365,★,★,0,★,★,★,低脂,调味,★★★,宝钗在清单中列入“酱半斤”
醋,调味品,第四十二回,四季,调味品四季使用,发酵,瓷罐,酸,调味品,米醋/陈醋等,无,酸味；增香去腥,通用,调味,薛宝钗,宝钗列出的画具清单中的食材,常见,★★,720,★,★,★,★,0,0,无,1,1,无,5,0,★,★,0,365,★,★,0,★,★,★,低脂,调味,★★★,同酱一起出现在清单中
盐,调味品,无明确回目,四季,基础调味品,晒制,盐田,咸,调味品,食盐,无,咸味；防腐,通用,调味,无,日常调味品,常见,★,720,★,★,★,★,0,0,无,1,1,无,5,0,★,★,0,365,★,★,0,★,★,★,低脂,调味,★★,日常烹饪/腌制必备
糖,调味品,无明确回目,四季,基础调味品,提炼,制糖工具,甜,调味品,白糖/红糖/冰糖等,无,甜味；增鲜,通用,调味,无,日常调味品,常见,★★,720,★,★,★,★,0,0,无,1,1,无,5,0,★★,★,0,365,★,★,0,★,★,★,高糖,调味,★★,日常烹饪/制作糕点必备
蜜,调味品,无明确回目,四季,基础调味品,采集,无,甜/润,调味品,蜂蜜,无,甜味；润燥；清香,通用,调味,无,日常调味品,常见,★★,720,★,★,★,★,0,0,无,1,1,无,5,0,★,★,0,365,★,★,0,★,★,★,高糖,调味,★★,用于蜜饯制作和调饮
花椒,调味品,无明确回目,四季,调味品四季使用,晾晒,无,麻/香,调味品,花椒,无,麻味；香气；去腥,通用,调味,无,日常调味品,常见,★★,720,★,★,★,★,0,0,无,1,1,无,5,0,★,★,0,365,★,★,0,★,★,★,低脂,调味,★★,贾府烹饪中用于去腥增香
糟蒸鲥鱼,菜肴,无明确回目,春季,鲥鱼为春季江鲜，时令性极强,糟制/蒸,蒸笼/瓦罐,糟香/鲜嫩,水产,鲥鱼,糟卤,鱼肉细嫩；糟香浓郁,通用,宴席,无,脂批提及，非正文,时令,★★★★,24,★★,★,★★★★,★★,24,0,焯水,4,3,中火,30,720,★★★,★★,30,30,★★,★★★★,30,★★,★★,★★★★,中脂,宴席,★★★,脂批中提及，显示贾府饮食包括鲥鱼
面筋芦蒿,菜肴,第六十一回,春季,芦蒿为春季时蔬,炒制,铁锅/炒锅,清鲜,蔬菜,面筋/芦蒿,油/盐/蒜末,芦蒿爽脆；面筋柔韧有嚼劲；清鲜可口,通用,日常,晴雯,晴雯要吃蒿子秆时提到的配菜,时令,★★,12,★★,★,★,★★,0,0,无,3,2,猛火,15,20,★★,★★★★,10,1,★,★★,15,★★,★,★★,低脂,日常,★★★★,晴雯要吃蒿子秆，柳家的问“肉炒鸡炒”
芦蒿炒面筋,菜肴,第六十一回,春季,同面筋芦蒿，春季时蔬,炒制,铁锅/炒锅,清鲜,蔬菜,面筋/芦蒿,油/盐/蒜末,同面筋芦蒿,通用,日常,晴雯,即“面筋芦蒿”,时令,★★,12,★★,★,★,★★,0,0,无,3,2,猛火,15,20,★★,★★★★,10,1,★,★★,15,★★,★,★★,低脂,日常,★★★★,同面筋芦蒿
板栗野鸭肉丁,菜肴,无明确回目,秋季,板栗秋熟，野鸭秋肥,炒制,铁锅/炒锅,咸甜,禽肉/干果,板栗/野鸭肉,酱油/糖/料酒/姜,板栗甜糯；野鸭紧实鲜美,通用,宴席,无,推测为秋冬时令菜,常见,★★★,24,★★,★★★★,★★★,★★,0,0,焯水,5,3,猛火,30,40,★★,★★★★,20,3,★,★★★,20,★★★★,★,★★★★,中脂,宴席,★★★,书中分别提及板栗和野鸭
燕窝秋梨鸭子热锅,菜肴,无明确回目,秋冬季,秋梨润燥，鸭子滋阴，热锅暖身,炖煮,砂锅,清甜/醇厚,禽肉/药膳/水果,燕窝/秋梨/鸭子,高汤/盐/姜,鸭肉酥烂；梨甜润；燕窝丝滑；汤汁醇厚,通用,秋冬滋补,无,推测为秋冬滋补热菜,珍贵,★★★★,24,★★,★★,★★★,★★,0,6,焯水,5,3,文火,30,120,★★★,★★★,60,2,★,★★★,25,★★★★,★,★★★★,中脂,滋补,★★★,书中分别提及燕窝/秋梨和鸭子
皇恩紫米粥,主食粥饭,无明确回目,四季,粥品四季皆宜,熬煮,砂锅,米香,谷物,紫米或红米,清水,粥色紫红；米香独特；口感黏糯,通用,日常,无,推测为“红稻米粥”别名,贡品,★★★★,720,★,★,★,★,0,0,无,2,1,文火,5,60,★★,★,30,2,★,★,10,★★,★,★★,低脂,日常,★★★,可能为“红稻米粥”的别称或同类
酥炸咸鱼包,点心,无明确回目,四季,炸制品四季皆可,油炸,油锅,咸鲜,水产/谷物,咸鱼/面粉,猪肉,外皮酥脆；内馅咸鲜；风味独特,通用,小吃,无,推测为一款咸鲜口味的油炸包子,常见,★★,24,★★,★,★,★★★,0,0,无,5,3,猛火,40,60,★★★,★★★★,20,2,★★,★★,15,★★,★,★★,高脂,小吃,★★★,未在正文中明确出现
雪燕菊花冻糕,点心,无明确回目,夏季,菊花秋季开放，冻糕夏季清凉,冷藏,模具,菊花香/清甜,花卉/甜品,雪燕/菊花,糖/琼脂,晶莹剔透；菊花清香；口感Q弹,通用,夏季凉品,无,推测为一道精致甜品,罕见,★★★,48,★★,★,★,★★,0,0,无,4,2,无,20,120,★★★,★,120,3,★★★★,★★,10,★,★,★★,低脂,凉品,★★★,未在正文中明确出现
苡米野鸡汤,汤羹,无明确回目,秋冬季,苡米四季可食，鸡汤滋补,炖煮,砂锅,清醇/鲜美,禽肉/谷物,苡米/野鸡,姜/盐/料酒,汤色清醇；鸡肉酥烂；苡米软糯,通用,滋补,无,推测为一道滋补汤品,常见,★★★,24,★★,★,★★★,★,0,0,焯水,4,2,文火,20,120,★★,★★,30,2,★,★★★,20,★★★,★,★★★,低脂,滋补,★★★,书中提及薏米和野鸡
火腿炖肚子,菜肴,无明确回目,冬季,同火腿炖肘子，炖菜宜冬,炖煮,砂锅,咸鲜,畜肉,火腿/猪肚,姜/料酒/盐,猪肚软烂；汤鲜味醇,通用,冬季暖身,无,推测为“火腿炖肘子”的类似菜,常见,★★,24,★★★★,★,★,★,0,0,焯水,4,2,文火,30,120,★★★,★★★,60,2,★,★★,20,★★★,★,★★★,中脂,日常,★★★,见“火腿炖肘子”
八仙鸭子杂烩,菜肴,无明确回目,四季,鸭子四季皆可，宴席菜,炖煮,砂锅,鲜香/丰富,禽肉,鸭子/多种配料,无,营养丰富；口感复合,通用,宴席,无,推测为一道鸭子综合菜,罕见,★★★,24,★★,★,★★★,★★,0,0,焯水,6,3,文火,40,120,★★★,★★★,60,2,★★,★★★,25,★★★★,★★,★★★★,中脂,宴席,★★★,书中提及鸭子杂烩
鸭子炖面筋,菜肴,无明确回目,四季,家常炖菜四季皆可,炖煮,砂锅,咸鲜,禽肉/豆制品,鸭子/面筋,酱油/糖/料酒/姜,鸭肉酥烂；面筋吸满汤汁,通用,日常,无,鸭肉与面筋的搭配家常炖菜,常见,★★,24,★★,★,★★★,★,0,0,焯水,4,2,文火,25,90,★★★,★★★,60,2,★,★★★,25,★★★,★,★★★,中脂,日常,★★★,书中提及鸭子和面筋
野鸡,菜肴原料,第五十三回,秋冬季,野鸡秋冬季肥美，年货进献,腌制/风干,无,野味,禽肉,野鸡,无,肉质紧实；野味浓郁,通用,年货,乌庄头,乌庄头进献的年货之一,年货,★★★★,720,★★,★,★★★,★,0,0,无,2,1,无,5,0,★,★,0,30,★,★★★,0,★,★,★★★,中脂,年货,★★★,乌庄头进献“野鸡野猫各二百对”
家腊猪,菜肴原料,第五十三回,冬季,腊肉为冬季年货，四季可存,腌制/风干,晾架,咸香/腊味,畜肉,猪肉,盐/香料,肉质紧实咸香；腊味浓郁,通用,年货,乌庄头,乌庄头进献的年货之一,年货,★★,1440,★★,★,★,★,48,0,无,3,2,无,30,720,★★,★,0,30,★,★★,0,★,★,★★★,高脂,年货,★★★,乌庄头进献“家腊猪二十个”
野猪,菜肴原料,第五十三回,秋冬季,野猪秋冬季狩猎所得,腌制/风干,无,野味,畜肉,野猪肉,无,肉质紧实；野味浓郁,通用,年货,乌庄头,乌庄头进献的年货之一,年货,★★★★,720,★★,★,★★★,★,0,0,无,2,1,无,5,0,★,★,0,30,★,★★★,0,★,★,★★★,中脂,年货,★★★,乌庄头进献“野猪二十个”
家汤羊,菜肴原料,第五十三回,冬季,羊肉冬令滋补，年货进献,宰杀处理,无,鲜嫩,畜肉,羊肉,无,羊肉温补；肉质鲜嫩,通用,年货,乌庄头,乌庄头进献的年货之一,年货,★★,48,★★,★,★★★,★,0,0,无,2,1,无,5,0,★,★,0,7,★,★★★,0,★,★,★★★,中脂,年货,★★★,乌庄头进献“家汤羊二十个”
家风羊,菜肴原料,第五十三回,冬季,风羊为冬季腊制年货,风干,晾架,腊香/紧实,畜肉,风干羊肉,无,肉质紧实；腊香浓郁,通用,年货,乌庄头,乌庄头进献的年货之一,年货,★★,1440,★★,★,★★★,★,0,0,无,2,1,无,20,720,★,★,0,30,★,★★★,0,★,★,★★★,高脂,年货,★★★,乌庄头进献“家风羊二十个”
大对虾,菜肴原料,第五十三回,春秋季,对虾春秋为主，干虾四季可存,捕捞/晒干,无,鲜甜,水产,对虾,无,虾肉鲜甜紧实；色泽红亮,通用,年货,乌庄头,乌庄头进献的年货之一,年货,★★★★,720,★★,★★,★★★,★,0,0,无,2,1,无,5,0,★,★,0,30,★,★★★,0,★,★,★★★,中脂,年货,★★★,乌庄头进献“大对虾五十对”
干虾,菜肴原料,第五十三回,四季,干虾为海产干货四季可存,晒干,晾架,咸鲜,水产,虾干,无,干虾咸鲜浓缩；海鲜风味浓郁,通用,年货,乌庄头,乌庄头进献的年货之一,年货,★★,720,★★,★★,★★★,★,0,0,无,2,1,无,5,0,★,★,0,30,★,★★★,0,★,★,★★★,中脂,年货,★★★,乌庄头进献“干虾二百斤”
银霜炭,燃料,第五十三回,冬季,优质木炭冬季取暖专用,烧制,炭窑,无,燃料,木炭,无,燃烧持久；火力均匀；无烟无味,通用,取暖,乌庄头,乌庄头进献的燃料之一,年货,★★,720,★,★,★,★,0,0,无,1,1,无,5,0,★,★,0,30,★,★,0,★,★,★,低脂,取暖,★★★,乌庄头进献“银霜炭上等选用一千斤”
御田胭脂米,主食粥饭,第五十三回,秋季,秋季新米收获后进献,蒸煮,蒸笼/铁锅,米香/独特,谷物,胭脂米,清水,米粒微红；香气独特；口感软糯,通用,年货,乌庄头,乌庄头进献的粮食之一,贡品,★★★★★,720,★,★,★,★,0,0,无,2,1,中火,5,40,★★,★★,30,365,★,★,10,★★★,★,★★,低脂,年货,★★★★,乌庄头进献“御田胭脂米二担”
碧糯,主食粥饭,第五十三回,秋季,秋季新米收获后进献,蒸煮,蒸笼/铁锅,米香/清雅,谷物,碧糯,清水,米粒微绿；口感软糯；香气清雅,通用,年货,乌庄头,乌庄头进献的粮食之一,贡品,★★★★,720,★,★,★,★,0,0,无,2,1,中火,5,40,★★,★★,30,365,★,★,10,★★★,★,★★,低脂,年货,★★★★,乌庄头进献“碧糯五十斛”
白糯,主食粥饭,第五十三回,秋季,秋季新米收获后进献,蒸煮,蒸笼/铁锅,米香/软糯,谷物,白糯米,清水,米粒洁白；口感软糯；黏性大,通用,年货,乌庄头,乌庄头进献的粮食之一,贡品,★★★★,720,★,★,★,★,0,0,无,2,1,中火,5,40,★★,★★,30,365,★,★,10,★★★,★,★★,低脂,年货,★★★★,乌庄头进献“白糯五十斛”
粉粳,主食粥饭,第五十三回,秋季,秋季新米收获后进献,蒸煮,蒸笼/铁锅,米香/绵软,谷物,粉粳米,清水,米粒饱满；口感绵软；米香纯正,通用,年货,乌庄头,乌庄头进献的粮食之一,贡品,★★★★,720,★,★,★,★,0,0,无,2,1,中火,5,40,★★,★★,30,365,★,★,10,★★★,★,★★,低脂,年货,★★★★,乌庄头进献“粉粳五十斛”
各色干菜,蔬菜类,第五十三回,秋冬季,秋季晒制冬季食用,晒干,晾架,风味浓缩,蔬菜,各种干菜,无,干菜风味浓缩；口感韧实,通用,年货,乌庄头,乌庄头进献的菜蔬之一,年货,★★,1440,★★★,★,★,★,0,0,无,2,1,无,30,720,★,★,0,365,★,★★,0,★,★,★★★,低脂,年货,★★★,乌庄头进献“各色干菜一车”
椒油莼齑酱,调味品/小菜,第七十五回,春季,莼菜春季采摘，酱可四季存,腌制,瓷罐,麻辣/鲜香,蔬菜/调味品,莼菜/椒油,酱料,酱菜风味；椒油麻辣鲜香；莼菜脆嫩,通用,佐餐,贾母,贾母餐桌上的佐餐小菜,特制,★★★,720,★★,★,★,★★,24,0,无,4,2,无,20,60,★★,★,60,30,★★,★★,10,★,★,★★,低脂,佐餐,★★★★,贾母说“我倒也想这个吃”
野鸡爪子,菜肴,第四十九回,秋冬季,与野鸡瓜类似，秋冬时令,炒制,铁锅/炒锅,咸鲜,禽肉,野鸡爪,无,与野鸡瓜类似,通用,日常,贾宝玉,与野鸡瓜类似,常见,★★★,24,★★,★,★★★,★,0,0,焯水,4,2,猛火,25,35,★★,★★★★,10,2,★,★★★,20,★★,★,★★★,中脂,日常,★★★,与野鸡瓜类似
野鸡崽子汤,汤羹,第四十三回,秋冬季,野鸡秋冬肥美,炖煮,砂锅,鲜嫩,禽肉,野鸡崽子,无,汤鲜味美；肉质细嫩,老人,病中,贾母/王熙凤,凤姐孝敬贾母的汤品,常见,★★★,24,★★,★,★★★,★,0,0,焯水,4,2,文火,20,60,★★,★★,30,2,★,★★,20,★★★,★,★★★★,低脂,病中,★★★★,贾母说“倒有味儿，又吃了两块肉”
虾丸鸡皮汤,汤羹,第六十二回,四季,汤品四季皆可,煮,铁锅/砂锅,咸鲜,水产/禽肉,虾丸/鸡皮,汤底,虾丸鲜嫩；鸡皮滑润；汤清味鲜,通用,日常,贾宝玉/芳官,芳官给宝玉送饭中的汤品,常见,★★,24,★★,★,★,★★★,0,0,焯水,4,3,中火,20,40,★★,★★,30,2,★,★★,15,★★,★,★★★,低脂,日常,★★★,芳官给宝玉送来的饭食之一
老蚌怀珠,菜肴,无明确回目,四季,名贵宴席菜四季皆可,蒸/炖,蒸笼/砂锅,鲜美,水产,贝类或甲鱼/鸽蛋或鱼丸,多种,造型美观；味道鲜美；寓意吉祥,通用,宴席,无,推测为一道名菜,罕见,★★★★,24,★★★,★,★★★,★★★,0,0,焯水,5,3,中火,40,90,★★★,★★★,30,2,★★★,★★★★,30,★★★★,★★,★★★★,中脂,宴席,★★★,书中未明确出现，为后世推测（建议删除）
怡红祝寿,菜肴,无明确回目,四季,寿宴菜四季皆可,综合,多种,喜庆,多种食材,多种,颜色鲜艳；寓意吉祥,通用,寿宴,无,推测为宝玉怡红院主题的宴席菜,罕见,★★★,24,★★,★★,★★,★★★,0,0,焯水,5,3,中火,30,60,★★★,★★★,30,2,★★,★★,20,★★★,★★,★★★,中脂,寿宴,★★★,推测为贾府重要场合菜品（建议删除）
白雪红梅,菜肴,无明确回目,冬季,红梅冬日盛开，意境菜,拼盘,无,清雅,白色和红色食材,多种,清雅；有意境；色彩鲜明,通用,观赏,无,推测为一道意境菜,罕见,★★,12,★★,★★,★,★★★★,0,0,无,3,2,无,15,30,★★,★,30,2,★★★★,★,5,★,★,★★,低脂,观赏,★★★,文学想象（建议删除）
姥姥鸽蛋,菜肴,第四十回,四季,即“鸽子蛋”的附会,煮,铁锅,咸鲜,禽肉,鸽子蛋,清水,同鸽子蛋,通用,宴席,刘姥姥,刘姥姥进大观园时的趣事,常见,★★,720,★,★★,★,★,0,0,无,2,1,中火,10,15,★,★★,15,30,★,★★,5,★★,★,★★★,低脂,宴席,★★★★,同“鸽子蛋”（建议删除）
金凤鲟龙翅,菜肴,无明确回目,四季,原著中无此菜名，为后世推测,多种,多种,鲜美,水产/禽肉,鲟鳇鱼/鸡翅,多种,鲜美；名贵,通用,宴席,无,推测为宴席大菜,罕见,★★★★,24,★★,★,★★★,★★★,0,0,焯水,5,3,中火,30,60,★★★,★★★,30,2,★★,★★★,25,★★★★,★★,★★★★,中脂,宴席,★★★,书中提及“鲟鳇鱼”但非此菜名（建议删除）
鸡油青笋,菜肴,无明确回目,四季,书中分别提及但未组合成菜名,炒制,铁锅/炒锅,清香,蔬菜,鸡油/青笋,无,清香爽脆,通用,日常,无,推测为家常小炒,常见,★★,12,★★,★★,★,★★,0,0,焯水,3,2,猛火,15,20,★★,★★★★,10,1,★,★★,15,★★,★,★★,中脂,日常,★★★,书中提及“鸡油”和“青笋”但非此菜名（建议删除）
琥珀燕窝,菜肴,无明确回目,四季,原著中无此具体菜名,炖煮,银锅/砂锅,清甜,药膳,燕窝,琥珀色汤汁,燕窝丝滑；汤汁浓郁,通用,滋补,无,推测为燕窝的一种吃法,珍贵,★★★★★,720,★★,★,★,★,0,6,无,3,1,文火,20,90,★★★,★,30,2,★★,★,10,★★,★,★★★★,低脂,滋补,★★★,书中提及“燕窝”但非此菜名（建议删除）
银耳鸽子蛋,补品补食,无明确回目,四季,书中分别提及但未组合,炖煮,砂锅,清甜,药膳,银耳/鸽子蛋,无,清甜滋补,通用,滋补,无,推测为滋补甜品,常见,★★,24,★★,★★,★,★,0,2,焯水,3,2,文火,15,60,★★,★★,30,2,★,★★,10,★★,★,★★★,低脂,滋补,★★★,书中提及“银耳”和“鸽子蛋”但非此品名（建议删除）
